72053300160
DATE|TEMP|MIN|MAX|DEWP|STP|VISIB|WDSP|MXSPD|GUST|PRCP
2010-08-27|80.6|64.4|96.8|36.0||10.0|2.3|18.1|35.9|
2010-08-28|83.5|69.8|96.8|37.3||9.8|4.1|8.9|15.0|0.0
2010-08-29|81.3|64.4|95.0|38.7||10.0|4.4|12.0|27.0|
2010-08-30|78.2|68.0|89.6|39.3||9.8|3.9|14.0|25.1|
2010-08-31|72.8|60.8|86.0|40.9||10.0|3.8|8.9|12.0|0.0
2010-09-01|71.3|55.4|91.4|38.6||10.0|3.0|14.0|21.0|0.0
2010-09-02|67.9|55.4|89.6|38.1||10.0|4.3|12.0|21.0|0.0
2010-09-03|64.1|50.0|80.6|36.9||10.0|2.0|6.0||0.0
2010-09-04|73.5|53.6|96.8|33.7||10.0|3.0|12.0|21.0|0.0
2010-09-05|83.0|64.4|96.8|28.0||10.0|7.6|20.0|28.9|0.0
2010-09-06|75.5|60.8|91.4|23.4||9.5|6.1|20.0|29.9|0.0
2010-09-07|63.0|46.4|82.4|23.9||8.5|3.1|9.9|15.0|0.0
2010-09-08|70.8|55.4|89.6|40.3||8.3|1.8|15.0|20.0|
2010-09-09|69.7|55.4|93.2|50.1||9.3|2.3|11.1||
2010-09-10|71.7|53.6|89.6|26.1||9.9|10.6|27.0|39.0|0.0
2010-09-11|68.2|50.0|86.0|27.4||9.8|3.9|15.0|19.0|0.0
2010-09-12|72.3|55.4|89.6|23.7||10.0|2.9|7.0||0.0
2010-09-13|72.5|57.2|91.4|28.7||10.0|2.7|14.0|21.0|0.0
2010-09-14|76.2|57.2|93.2|31.7||9.9|2.1|7.0||0.0
2010-09-15|74.2|59.0|87.8|36.2||10.0|3.5|9.9|14.0|0.0
2010-09-16|70.4|51.8|89.6|40.3||9.9|1.2|8.9||0.0
2010-09-17|71.9|53.6|87.8|35.5||9.9|2.2|6.0||0.0
2010-09-18|63.9|53.6|82.4|48.3||8.6|2.8|7.0||
2010-09-19|64.0|46.4||47.2||7.1|1.4|7.0||
2010-09-20|76.7|59.0|95.0|35.4||10.0|6.6|22.9|35.0|0.0
2010-09-21|70.4|53.6|86.0|41.5||10.0|4.0|19.0|25.1|0.0
2010-09-22|65.5|55.4|75.2|51.9||10.0|2.0|8.9|18.1|
2010-09-23|66.5|57.2|80.6|46.2||10.0|6.4|22.0|33.0|
2010-09-24|68.0|51.8|84.2|32.5||9.9|1.6|5.1||0.0
2010-09-25|68.2|51.8|82.4|31.8||10.0|2.5|6.0||0.0
2010-09-26|70.1|53.6|91.4|35.7||9.9|1.5|6.0||0.0
2010-09-27|77.0|62.6|89.6|32.9||10.0|5.0|13.0|19.0|0.0
2010-09-28|73.1|55.4|95.0|36.2||10.0|1.8|6.0||0.0
2010-09-29|76.0|60.8|89.6|31.9||10.0|4.7|15.0|22.0|0.0
2010-09-30|65.8|51.8|80.6|41.1||10.0|2.1|6.0||0.0
2010-10-01|66.4|51.8|82.4|40.9||10.0|2.3|8.9|15.0|0.0
2010-10-02|62.8|48.2|78.8|40.2||10.0|2.6|6.0||0.0
2010-10-03|61.9|46.4|80.6|43.0||9.9|1.3|8.0|15.0|0.0
2010-10-04|65.5|50.0|80.6|40.1||10.0|3.0|14.0|20.0|
2010-10-05|70.8|53.6|86.0|36.6||9.8|3.3|8.9||0.0
2010-10-06|66.7|60.8|78.8|44.6||10.0|4.0|12.0|16.9|0.0
2010-10-07|61.9|51.8|78.8|46.9||9.8|2.2|11.1|15.9|
2010-10-08|66.2|59.0|77.0|34.5||10.0|6.5|28.0|35.0|
2010-10-09|56.9|46.4|68.0|27.5||10.0|6.8|22.0|28.9|0.0
2010-10-10|54.6|50.0|60.8|36.2||10.0|3.2|11.1|20.0|
2010-10-11|56.1|48.2|69.8|42.2||9.8|2.1|8.0||
2010-10-12|52.7|44.6|66.2|40.2||9.7|3.1|15.0|22.0|
2010-10-13|51.5|41.0|66.2|39.4||10.0|2.2|6.0||0.0
2010-10-14|57.0|42.8|77.0|33.6||10.0|2.6|6.0||0.0
2010-10-15|61.3|44.6|80.6|30.1||10.0|2.0|5.1||0.0
2010-10-16|58.1|44.6|75.2|29.6||10.0|2.1|7.0||0.0
2010-10-17|55.5|41.0|77.0|32.5||10.0|1.8|8.9|21.0|
2010-10-18|54.6|42.8|69.8|33.0||10.0|3.9|18.1|26.0|
2010-10-19|51.4|37.4|71.6|37.7||9.8|1.9|8.9|15.0|
2010-10-20|55.9|41.0|73.4|28.4||10.0|2.6|7.0||0.0
2010-10-21|56.2|37.4|71.6|29.8||10.0|2.0|7.0||0.0
2010-10-22|54.1|46.4|64.4|38.7||9.9|1.6|8.0|14.0|
2010-10-23|49.9|44.6|62.6|42.5||5.1|2.0|15.0|22.0|0.0
2010-10-24|51.1|39.2|60.8|31.8|||3.0|12.0|21.0|0.0
2010-10-25|54.8|42.8|62.6|27.6|||9.8|25.1|36.9|0.0
2010-10-26|41.7|37.4|46.4|9.0||10.0|21.0|39.0|55.0|0.0
2010-10-27|40.6|33.8|50.0|6.9||10.0|10.1|32.1|42.0|0.0
2010-10-28|40.0|26.6|59.0|6.7||10.0|2.7|12.0|22.0|0.0
2010-10-29|51.7|35.6|77.0|13.0||9.8|5.4|19.0|22.9|0.0
2010-10-30|58.2|42.8|71.6|18.9||10.0|3.7|14.0|20.0|0.0
2010-10-31|52.4|41.0|62.6|28.1||10.0|4.0|13.0|16.9|0.0
2010-11-01|51.5|41.0|59.0|27.3||9.9|2.5|9.9||
2010-11-02|48.7|35.6|68.0|25.0||10.0|2.1|9.9||0.0
2010-11-03|52.0|41.0|62.6|30.8||10.0|2.9|8.0||0.0
2010-11-04|45.3|32.0|59.0|24.6||10.0|1.3|5.1||0.0
2010-11-05|46.8|33.8|71.6|16.4||10.0|1.6|5.1||0.0
2010-11-06|54.9|41.0|73.4|23.4||10.0|1.4|7.0||0.0
2010-11-07|55.5|44.6|69.8|22.0||10.0|3.5|27.0|35.0|
2010-11-08|49.6|33.8|68.0|21.8||10.0|2.7|12.0|16.9|0.0
2010-11-09|45.2|32.0|57.2|26.2||9.6|4.6|15.9|20.0|
2010-11-10|31.9|26.6|39.2|29.7||6.6|1.3|5.1||0.0
2010-11-11|32.7|30.2|35.6|29.0||7.6|5.4|11.1||
2010-11-12|32.2|23.0|42.8|23.1||10.0|1.9|8.9|14.0|0.0
2010-11-13|33.7|28.4|42.8|24.5||9.3|1.7|8.9|15.0|0.0
2010-11-14|31.4|24.8|41.0|26.2||7.0|2.8|8.0||
2010-11-15|33.7|30.2|41.0|25.8||9.5|2.0|7.0||
2010-11-16|38.0|28.4|51.8|24.6||9.8|6.3|27.0|44.9|
2010-11-17|36.0|28.4|42.8|24.6||10.0|4.5|22.0|32.1|
2010-11-18|36.8|26.6|64.4|19.5||10.0|4.9|20.0|28.9|0.0
2010-11-19|51.9|39.2|59.0|7.8||10.0|6.2|14.0|18.1|0.0
2010-11-20|32.9|28.4|42.8|27.6||7.8|1.6|5.1||0.0
2010-11-21|35.0|26.6|46.4|25.6||8.5|3.8|15.0|22.0|0.0
2010-11-22|33.1|24.8|41.0|13.0||8.4|10.0|22.9|39.0|
2010-11-23|33.0|21.2|44.6|5.7||10.0|3.4|16.9|27.0|0.0
2010-11-24|34.0|26.6|41.0|8.4||10.0|6.9|26.0|35.0|0.0
2010-11-25|25.1|17.6|39.2|-15.6||10.0|9.5|23.9|62.9|0.0
2010-11-26|30.5|17.6|50.0|-1.7||10.0|4.1|25.1|32.1|0.0
2010-11-27|36.4|26.6|51.8|11.1||10.0|1.7|6.0||0.0
2010-11-28|35.3|30.2|44.6|10.4||10.0|1.8|6.0||0.0
2010-11-29|31.2|28.4|32.0|4.2||10.0|7.3|15.0|22.9|0.0
2010-11-30|23.9|17.6|35.6|-0.1||10.0|2.4|9.9|16.9|0.0
2010-12-01|49.5|37.4|59.0|18.5||10.0|5.5|12.0|16.9|0.0
2010-12-02|42.4|32.0|53.6|21.3||10.0|2.5|8.9||0.0
2010-12-03|48.6|33.8|62.6|18.8||10.0|12.7|34.0|44.9|0.0
2010-12-04|37.3|30.2|53.6|21.1||10.0|5.6|28.9|42.0|0.0
2010-12-05|30.1|26.6|37.4|16.6||10.0|1.8|6.0||0.0
2010-12-06|31.5|24.8|42.8|20.6||10.0|1.2|6.0||0.0
2010-12-07|39.2|32.0|50.0|20.7||10.0|1.8|11.1||0.0
2010-12-08|37.3|26.6|46.4|14.3||10.0|2.4|7.0||0.0
2010-12-09|45.6|37.4|57.2|11.8||10.0|2.9|8.9|15.0|0.0
2010-12-10|43.3|32.0|55.4|19.1||10.0|5.9|19.0|34.0|0.0
2010-12-13|58.0|53.6|62.6|11.2||10.0|8.7|14.0|21.0|0.0
2010-12-14|49.1|37.4|59.0|15.0||10.0|3.6|8.9|18.1|0.0
2010-12-15|46.1|35.6|53.6|15.0||10.0|4.4|13.0|21.0|
2010-12-16|30.1|21.2|37.4|19.6||10.0|4.0|11.1|15.9|0.0
2010-12-17|26.1|23.0|32.0|17.8||6.0|1.4|8.9||
2010-12-18|23.6|14.0|35.6|16.2||10.0|0.9|4.1||0.0
2010-12-19|31.8|21.2|55.4|18.2||10.0|1.5|6.0||0.0
2010-12-20|41.8|32.0|57.2|25.7||10.0|3.7|14.0|27.0|
2010-12-21|34.2|28.4|44.6|16.6||10.0|3.1|8.0||0.0
2010-12-22|31.3|23.0|37.4|22.6||10.0|1.0|4.1||0.0
2010-12-23|29.5|19.4|46.4|22.5||6.7|0.5|6.0||
2010-12-24|36.6|26.6|44.6|25.5||9.2|2.2|8.0||0.0
2010-12-25|33.4|21.2|50.0|17.3||10.0|1.4|5.1||0.0
2010-12-26|34.2|23.0|50.0|12.8||10.0|2.1|5.1||0.0
2010-12-27|34.3|26.6|44.6|15.2||10.0|2.5|6.0||0.0
2010-12-28|34.2|26.6|46.4|10.9||10.0|2.3|7.0||0.0
2010-12-29|34.2|26.6|51.8|10.3||10.0|4.0|15.9|26.0|0.0
2010-12-30|32.4|14.0|46.4|16.8||7.5|5.5|15.0|22.9|
2010-12-31|8.1|5.0|14.0|3.7||3.9|4.3|8.9||
2011-01-01|13.4|5.0|23.0|-6.6||10.0|5.9|16.9|22.9|0.0
2011-01-02|21.6|3.2|44.6|-3.4||9.5|8.4|26.0|34.0|0.0
2011-01-03|27.3|14.0|37.4|8.4||10.0|5.1|13.0|14.0|0.0
2011-01-04|21.6|12.2|37.4|12.5||10.0|1.8|8.0||0.0
2011-01-05|35.4|26.6|44.6|9.6||10.0|9.7|28.0|41.0|0.0
2011-01-06|43.0|35.6|53.6|12.4||10.0|11.5|26.0|33.0|0.0
2011-01-07|43.8|33.8|50.0|19.9||10.0|7.2|22.9|29.9|0.0
2011-01-08|32.4|23.0|44.6|25.5||9.5|1.5|7.0||0.0
2011-01-09|30.0|23.0|37.4|25.6||5.3|3.1|9.9||
2011-01-10|13.5|1.4|23.0|7.0||5.5|3.2|8.9||
2011-01-11|10.2|5.0|14.0|-1.1||10.0|3.3|9.9||0.0
2011-01-12|17.4|6.8|24.8|4.8||10.0|1.6|4.1||0.0
2011-01-13|34.8|17.6|51.8|17.1||10.0|5.3|20.0|32.1|0.0
2011-01-14|39.4|32.0|53.6|23.2||10.0|2.5|8.9||0.0
2011-01-15|38.2|32.0|48.2|20.5||10.0|4.1|9.9|18.1|0.0
